lga_name,state,area_km2,N_percent,P_ppm,K_ppm,pH,N_status,P_status,K_status,pH_status,N_rec_kg_ha,P_rec_kg_ha,K_rec_kg_ha,lime_rec_tons_ha,current_yield_kg_ha,potential_yield_kg_ha,yield_increase_kg_ha,yield_increase_percent,total_cost_usd_ha,net_benefit_usd_ha,roi_percent,environmental_impact_score,combined_limitation_index,priority_rank
Bunkure,Kano,12.0283,0.045192093153582295,4.978753721404839,134.3890769605751,5.662122713318172,High Limitation,High Limitation,Medium Limitation,Suboptimal,80,60,50,1.0,1020.6,3300.0000000000005,2279.4000000000005,223.3392122281012,596.0,429.73000000000025,72.10234899328863,0.205,31.11111111111111,Low
Ikara,Kaduna,10.7972,0.05349997431937431,5.58265965842719,133.7281057058954,5.840178783934644,Medium Limitation,High Limitation,Medium Limitation,Suboptimal,50,60,50,1.0,1239.3,3300.0000000000005,2060.7000000000007,166.27935124667158,560.0,367.3150000000003,65.59196428571433,0.16,26.666666666666668,Low
